web-scraper-order,web-scraper-start-url,product_category,product_category-href,Product,Product-href,name,variants,description,price,packprice
"1536417295-23","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Cow-Pea-Front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/pro-nature-cowpea-white-lobiya-organic-500gms/","Pro Nature Cowpea (White) / Lobiya-Organic – 500gms","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹110.00","null"
"1536417265-11","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Atta-1-kg-front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Pronature Whole wheat Atta"" />","https://naturestokri.com/store/all-organic-staples/pro-nature-whole-wheat-atta-organic/","Pro Nature Whole Wheat Atta – 1kg Pack","","null","₹60.00","₹95.00"
"1536417366-52","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Organic-moong-green-splitchilka-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-moong-green-split-with-chilka/","Organic Moong Green Split – With Chilka","<option value="""">Choose an option</option><option value=""500 gms"" class=""attached enabled"">500 gms</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Moong Green Split Chilka Dal that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹91.00","₹79.00"
"1536417347-44","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/indrayani-rice-white-1-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-indrayani-rice-white/","Organic Indrayani Rice – White","<option value="""">Choose an option</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Indrayani Rice White that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹117.00","₹79.00"
"1536417349-45","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Khapli-Gahu-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-wheat-khapli/","Organic Wheat Khapli","<option value="""">Choose an option</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Wheat Khapli that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹125.00","₹73.00"
"1536417281-18","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-whole-wheat-atta-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/organic-wheat-flour-sharbati/","Organic Wheat Flour – Sharbati","","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Wheat Flour – Sharbati that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹104.00","null"
"1536417382-56","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/06/moth-wholematki-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-moth-matki-dal/","Organic Moth / Matki Dal","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Moth / Matki Dal that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹81.00","null"
"1536417330-37","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-turmeric-powder-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-turmeric-powder-haldi-powder/","Organic Turmeric Powder / Haldi Powder","<option value="""">Choose an option</option><option value=""100 gms Pouch"" class=""attached enabled"">100 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Turmeric powder / Haldi Powder that is prepared using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹39.00","₹83.00"
"1536417311-30","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-jaggery-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-jaggery/","Organic Jaggery","<option value="""">Choose an option</option><option value=""500 gms"" class=""attached enabled"">500 gms</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Jaggery that is prepared using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹55.00","null"
"1536417317-32","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-ajwain-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-carom-seeds-ajwain-ajwan/","Organic Carom Seeds / Ajwain / Ajwan","<option value="""">Choose an option</option><option value=""100 gms Pouch"" class=""attached enabled"">100 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Carom Seeds / Ajwain / Ajwan that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹54.00","null"
"1536417345-43","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/basmati-rice-white-1-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-basmati-rice-white/","Organic Basmati Rice White","<option value="""">Choose an option</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Basmati Rice White that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹194.00","₹73.00"
"1536417297-24","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Chana-Dal-1-kg-Front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/pro-nature-channa-dal-organic-500gms/","Pro Nature Channa Dal – Organic – 500gms","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹89.00","null"
"1536417377-54","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/06/channa-brown-small-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-channa-brown/","Organic Channa – Brown","<option value="""">Choose an option</option><option value=""500 gms"" class=""attached enabled"">500 gms</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Channa Brown that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹71.00","₹73.00"
"1536417250-4","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/08/HDSC3224-34-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Natureap Besan"" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/natureap-besan-gram-flour-500gms/","Natureap Besan / Gram Flour- 500gms","","null","₹110.00","null"
"1536417261-9","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Maida-500g-front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Pro Nature Maida"" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/pro-nature-maida-500gms-pack/","Pro Nature Maida – 500gms Pack","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹40.00","null"
"1536417392-59","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/06/channa-dal-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-channa-dal/","Organic Channa Dal","<option value="""">Choose an option</option><option value=""500gms"" class=""attached enabled"">500gms</option><option value=""1kg"" class=""attached enabled"">1kg</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Channa Dal that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹79.00","₹79.00"
"1536417270-13","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/khapli-wheat-flour-1-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-khapli-wheat-flour-wheat-khapli-atta/","Organic Khapli Wheat Flour / Wheat Khapli Atta","<option value="""">Choose an option</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Khapli Wheat Flour/Khapli Atta that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹136.00","₹73.00"
"1536417340-41","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-red-raw-rice-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-red-rice/","Organic Red Rice","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Red Rice that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹62.00","null"
"1536417314-31","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/organic-powder-jaggery-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-jaggery-powder/","Organic Jaggery Powder","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Jaggery Powder that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹66.00","null"
"1536417279-17","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/besan-flour-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/organic-besan-gram-flour/","Organic Besan / Gram Flour","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Besan / Gram Flour that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹85.00","null"
"1536417289-20","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Sonamasoori-Rice-White-5kg-front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Pro Nature White Sonamasoori Rice"" />","https://naturestokri.com/store/all-organic-staples/foodgrains-oil-masala/pro-nature-white-sonamasoori-rice-1kg-pack/","Pro Nature White Sonamasoori Rice – 1kg Pack","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹96.00","₹95.00"
"1536417386-57","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/06/organic-red-masoor-dal_1-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt=""Red Masoor Dal"" />","https://naturestokri.com/store/all-organic-staples/organic-masoor-dal/","Organic Masoor Dal – Without Skin","<option value="""">Choose an option</option><option value=""500 gms pouch"" class=""attached enabled"">500 gms pouch</option>","Masoor dal is possibly the most generally used Daal in India. It is essentially the split lentil with no skin and is red in color. Organic masoor dal is logically available with no skin. As it is split it does not need prior soaking. When cooked, it turns into a flexible golden colored dal. It has one of the maximum percentages of protein.BB Royal Masoor dal is free from synthetic chemicals and pesticides.","₹75.00","null"
"1536417268-12","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Lokwan-Flour-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-wheat-flour-wheat-atta-lokwan/","Organic Wheat Flour / Wheat Atta – Lokwan","<option value="""">Choose an option</option><option value=""1 kg Pouch"" class=""attached enabled"">1 kg Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Wheat Flour / Wheat Atta – Lokwan that is processed using the best agricultural produce and practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹64.00","₹95.00"
"1536417335-39","https://naturestokri.com/product-category/all-organic-staples/","Foodgrains, oil & Masala","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/white-poha-beaten-rice-2-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/organic-thin-poha/","Organic Thin Poha","<option value="""">Choose an option</option><option value=""500 gms Pouch"" class=""attached enabled"">500 gms Pouch</option>","We Strive to cycle resources, promote ecological balance, and conserve biodiversity and bring to you Organic Thin Poha that is grown using the best agricultural practices. This product is cleaned, processed and packed in the most hygienic conditions to preserve its natural nutrition for your health benefits.","₹51.00","null"
"1536417263-10","https://naturestokri.com/product-category/all-organic-staples/","Atta, Flours & Sooji","https://naturestokri.com/product-category/all-organic-staples/foodgrains-oil-masala/atta-flours-sooji/","<img
width=""300"" height=""200"" src=""https://naturestokri.com/wp-content/uploads/2018/07/Besan-500g-front-300x200.jpg"" class=""attachment-woocommerce_thumbnail size-woocommerce_thumbnail wp-post-image"" alt="""" />","https://naturestokri.com/store/all-organic-staples/pro-nature-besan-gram-flour-organic-500gms/","Pro Nature Besan / Gram Flour-organic – 500gms","","fssai Lic No:10015043001204

Manufactured By:

Pro Nature Organic Foods Pvt Ltd,

A-4,NGEF Ancillary Industrial Estate,Graphite India Road,Mahadevapura,Bangalore 560048,Karnataka","₹136.00","null"
